FID,serial_num,lat,lon,major_road_01,major_road_005,res_road_01,res_road_005,stove_conc_01,stove_conc_005,PathDis_ci
0,HMA6KRK,47.924417,106.865684,250.8670044,182.8609924,1427.72998,1266.410034,67,154,35.61240005
1,KT4KJ47,47.915527,106.893736,659.3280029,702.8070068,612.6170044,528.8599854,477,38,2.189019918
2,LUAKYUG,47.91212,106.953814,449.6889954,331.3529968,512.5549927,796.3690186,90,82,21.9769001
3,HGSSMAW,47.953734,106.943219,47.77959824,18.72260094,1461.640015,1084.76001,1154,53,71.05919647
4,Y7KL6KJ,47.925953,106.987388,116.1549988,116.1549988,1012.700012,937.414978,956,59,100.4889984
5,MUPH4JJ,47.939127,106.931421,251.0610046,145.5740051,1496.119995,1496.119995,1026,360,18.69449997
6,TTVPJAP,47.933672,106.935634,201.6640015,238.8959961,933.5720215,1195.199951,598,245,15.53209972
7,MHPP97G,47.922891,106.939619,498.6019897,498.6019897,676.4699707,810.2650146,27,7,7.427120209
8,TMSSCRY,47.935863,107.006293,65.56240082,61.59230042,957.6690063,1294.040039,552,333,148.1100006
9,TVUM769,47.942936,106.919059,155.151001,155.151001,1582.219971,1635.339966,1169,423,19.37210083
10,PCMSTGG,47.968355,106.929907,59.1310997,105.572998,1222.329956,1222.329956,761,193,81.790802
11,RR9M4V9,47.929507,106.913833,660.1430054,565.4559937,1111.390015,912.0050049,463,37,0
12,7zxpmnr6,47.914649,106.91701,714.3900146,714.3900146,316.1849976,269.1619873,7,2,0
13,KW6XH4J,47.937128,106.793034,58.59889984,59.39590073,1042.900024,912.1409912,268,109,200.1499939
14,CUVCV9Y,47.922826,106.794645,113.9280014,102.1480026,1023.47998,1555.170044,996,108,184.9530029
15,GCWJPX9,47.932849,106.817432,129.9929962,171.8760071,1629.790039,1609.069946,1160,368,142.1300049
16,CVWU6VT,47.953246,106.826962,123.0879974,123.0879974,1395.819946,1690.52002,638,148,155.5980072
17,SMCAMHK,47.957138,106.836971,84.32279968,84.32279968,1919.699951,1919.699951,870,187,140.3639984
18,SLSVLW4,47.915199,106.846345,260.1730042,202.3869934,1140.380005,749.4780273,1024,80,74.26830292
19,GJCXCYS,47.857916,106.770765,122.6809998,120.3909988,1111.160034,1111.160034,712,154,376.553009
20,WHSSK9M,47.866314,106.803913,108.9000015,113.0599976,1085.949951,990.1459961,1812,680,278.4809875
21,JAHP4HS,47.885564,106.91161,188.0050049,159.7230072,482.57901,556.065979,14,78,34.15999985
22,PTM4JAM,47.936933,106.905946,402.9769897,308.9710083,1724.790039,1655.430054,1156,333,10.83899975
