Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-04-24 13:00:00,88,43,30,193,436.0,16.1,61.0,24.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 12:00:00,74,33,23,196,434.0,16.8,62.3,22.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 11:00:00,68,29,20,78,433.0,16.4,61.5,23.0,54,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 10:00:00,78,36,25,166,434.0,16.5,61.7,22.0,53,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 09:00:00,98,49,34,432,431.8,15.7,60.3,23.0,45,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 08:00:00,59,23,16,91,433.0,14.9,58.9,22.0,46,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 07:00:00,95,47,33,80,431.0,8.8,47.9,27.0,43,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 06:00:00,76,34,24,71,416.0,4.9,40.8,31.0,44,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 05:00:00,50,17,12,13,416.0,5.3,41.5,30.0,39,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 04:00:00,55,20,14,26,415.0,5.9,42.5,29.0,44,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 03:00:00,65,27,19,34,420.0,6.1,43.0,29.0,50,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 02:00:00,70,30,21,36,420.0,6.6,43.9,28.0,80,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 01:00:00,86,41,29,62,422.0,6.6,43.8,29.0,106,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 00:00:00,102,51,36,69,426.0,8.2,46.8,26.0,61,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 23:00:00,146,74,54,106,433.0,9.5,49.1,25.0,105,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 22:00:00,159,95,71,169,437.0,10.8,51.5,23.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 21:00:00,168,117,88,273,452.0,13.1,55.6,20.0,22,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 20:00:00,141,71,52,92,445.0,13.4,56.2,20.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 19:00:00,88,43,30,68,437.0,13.9,57.0,20.0,15,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 18:00:00,65,27,19,45,430.0,14.2,57.5,19.0,19,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 17:00:00,57,21,15,67,430.0,14.5,58.1,16.0,20,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 16:00:00,29,10,7,31,430.0,14.4,57.8,14.0,26,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 15:00:00,45,16,11,72,430.0,14.5,58.1,11.0,37,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 14:00:00,53,19,13,58,431.0,14.3,57.7,10.0,43,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 13:00:00,153,81,60,503,446.0,13.9,57.0,14.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 12:00:00,175,133,102,704,443.0,12.9,55.3,14.0,71,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 11:00:00,57,21,15,63,440.0,12.5,54.5,15.0,25,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 10:00:00,146,74,54,244,448.0,10.8,51.4,16.0,155,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 09:00:00,112,56,40,102,439.0,8.4,47.0,18.0,193,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 08:00:00,127,64,46,102,432.0,4.5,40.0,23.0,182,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 07:00:00,80,37,26,71,424.0,1.1,34.0,27.0,33,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 06:00:00,63,26,18,34,414.0,,,28.0,97,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 05:00:00,53,19,13,44,413.0,,,27.0,63,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 04:00:00,63,26,18,41,412.0,,,26.0,108,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 03:00:00,55,20,14,31,411.0,,,25.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 02:00:00,70,30,21,55,415.0,0.1,32.3,24.0,156,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 01:00:00,76,34,24,36,418.0,0.7,33.2,23.0,147,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 00:00:00,127,64,46,90,421.0,1.4,34.6,22.0,122,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 23:00:00,137,69,50,91,422.0,2.5,36.6,19.0,46,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 22:00:00,183,154,118,243,445.0,4.3,39.7,17.0,25,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 21:00:00,95,47,33,49,425.0,4.9,40.7,16.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 20:00:00,91,44,31,74,425.0,5.2,41.3,16.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 19:00:00,59,23,16,28,423.0,5.7,42.2,16.0,6,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 18:00:00,45,16,11,20,425.0,6.4,43.4,18.0,7,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 17:00:00,21,7,5,11,421.0,6.3,43.3,18.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 16:00:00,21,7,5,22,422.0,6.4,43.6,17.0,14,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 15:00:00,29,10,7,16,422.0,6.6,44.0,17.0,19,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 14:00:00,21,7,5,15,419.0,5.7,42.3,17.0,19,,
