Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-05-20 15:00:00,152,79,58,72,404.0,11.0,51.8,69.0,14,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 14:00:00,55,20,14,40,403.0,13.0,55.4,59.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 13:00:00,50,17,12,48,403.0,15.0,59.0,51.0,14,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 12:00:00,50,17,12,45,404.0,16.0,60.8,48.0,15,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 11:00:00,41,14,10,38,406.0,17.0,62.6,45.0,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 10:00:00,50,17,12,32,407.0,16.0,60.8,45.0,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 09:00:00,59,23,16,55,410.0,16.0,60.8,45.0,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 08:00:00,65,27,19,46,411.0,14.0,57.2,48.0,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 07:00:00,63,26,18,46,413.0,12.0,53.6,52.0,23,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 06:00:00,55,20,14,35,412.0,11.0,51.8,53.0,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 05:00:00,50,17,12,30,414.0,11.0,51.8,51.0,23,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 04:00:00,45,16,11,26,410.0,12.0,53.6,48.0,23,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 03:00:00,41,14,10,27,412.0,12.0,53.6,48.0,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 02:00:00,53,19,13,50,413.0,13.0,55.4,46.0,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 01:00:00,45,16,11,35,409.0,13.0,55.4,45.0,27,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 00:00:00,50,17,12,37,410.0,14.0,57.2,44.0,27,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 23:00:00,70,30,21,70,412.0,14.0,57.2,44.0,44,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 22:00:00,84,40,28,96,410.0,16.0,60.8,40.0,44,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 21:00:00,86,41,29,90,411.0,16.0,60.8,38.0,90,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 20:00:00,102,51,36,149,408.0,17.0,62.6,37.0,74,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 19:00:00,70,30,21,50,407.0,18.0,64.4,37.0,51,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 18:00:00,37,13,9,23,406.0,19.0,66.2,37.0,26,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 17:00:00,29,10,7,22,406.0,19.0,66.2,37.0,20,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 16:00:00,25,9,6,19,406.0,20.0,68.0,36.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 15:00:00,25,9,6,22,404.0,19.0,66.2,36.0,19,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 14:00:00,37,13,9,28,406.0,19.0,66.2,37.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 13:00:00,29,10,7,31,407.0,19.0,66.2,37.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 12:00:00,37,13,9,45,408.0,20.0,68.0,37.0,19,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 11:00:00,29,10,7,32,406.0,20.0,68.0,38.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 10:00:00,33,11,8,22,408.0,20.0,68.0,40.0,13,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 09:00:00,76,34,24,88,417.0,18.0,64.4,42.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 08:00:00,70,30,21,76,412.0,13.0,55.4,49.0,19,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 07:00:00,57,21,15,31,410.0,10.0,50.0,52.0,30,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 06:00:00,65,27,19,46,409.0,10.0,50.0,52.0,41,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 05:00:00,41,14,10,17,408.0,9.0,48.2,52.0,34,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 04:00:00,25,9,6,14,406.0,10.0,50.0,53.0,30,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 03:00:00,25,9,6,12,407.0,10.0,50.0,52.0,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 02:00:00,33,11,8,23,406.0,11.0,51.8,50.0,27,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 01:00:00,61,24,17,45,409.0,12.0,53.6,49.0,33,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 00:00:00,97,49,34,101,412.0,12.0,53.6,48.0,42,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 23:00:00,127,64,46,120,414.0,13.0,55.4,47.0,44,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 22:00:00,86,41,29,129,406.0,13.0,55.4,47.0,44,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 11:00:00,33,11,8,32,412.0,19.0,66.2,31.0,30,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 10:00:00,41,14,10,46,415.0,19.0,66.2,34.0,17,,
