Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-05-20 15:00:00,45,16,11,11,408.5,11.2,52.2,75.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 14:00:00,41,14,10,10,412.7,13.1,55.6,62.3,113,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 13:00:00,35,12,8,9,414.6,14.9,58.8,49.8,135,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 12:00:00,37,13,9,11,416.3,15.4,59.6,48.0,126,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 11:00:00,29,10,7,8,418.7,17.1,62.7,41.7,95,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 10:00:00,39,14,10,11,417.8,16.1,61.0,42.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 09:00:00,53,19,13,16,423.8,16.7,62.1,42.3,41,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 08:00:00,59,23,16,20,421.5,14.4,57.9,48.0,76,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 07:00:00,66,28,20,22,416.8,12.4,54.4,53.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 06:00:00,37,13,9,9,414.7,11.0,51.8,55.3,151,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 05:00:00,21,7,5,5,412.3,10.9,51.6,54.7,134,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 04:00:00,28,10,7,8,414.3,11.4,52.4,52.0,93,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 03:00:00,33,11,8,9,415.0,12.2,54.0,47.3,29,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 02:00:00,26,9,6,7,414.0,12.4,54.3,46.0,35,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 01:00:00,36,13,9,10,412.5,12.5,54.6,45.0,41,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 00:00:00,52,18,13,15,415.8,12.9,55.3,43.8,42,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 23:00:00,31,11,8,8,413.0,13.0,55.4,44.0,35,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 22:00:00,52,18,13,15,417.8,12.8,55.1,42.8,25,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 21:00:00,81,38,26,31,425.7,15.3,59.6,35.7,15,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 20:00:00,77,35,25,32,423.0,17.5,63.5,32.3,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 19:00:00,32,11,8,11,421.0,18.3,64.9,32.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 18:00:00,28,10,7,9,421.0,18.8,65.9,32.7,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 17:00:00,19,6,5,6,425.0,19.9,67.9,30.5,21,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 16:00:00,17,6,4,5,429.0,21.4,70.6,28.3,20,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 15:00:00,19,6,5,6,429.0,21.8,71.2,28.8,,,
