Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-05-20 15:00:00,57,21,15,15,407.0,11.0,51.8,76.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 14:00:00,37,13,9,11,408.0,13.0,55.4,63.0,113,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 13:00:00,37,13,9,12,406.0,15.0,59.0,52.0,135,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 12:00:00,41,14,10,13,406.0,15.0,59.0,50.0,126,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 11:00:00,33,11,8,10,407.0,16.0,60.8,45.0,95,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 10:00:00,37,13,9,11,409.0,16.0,60.8,44.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 09:00:00,45,16,11,13,414.0,16.0,60.8,45.0,41,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 08:00:00,57,21,15,18,412.0,14.0,57.2,49.0,76,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 07:00:00,70,30,21,26,419.0,13.0,55.4,53.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 06:00:00,50,17,12,13,416.0,11.0,51.8,56.0,151,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 05:00:00,25,9,6,7,419.0,11.0,51.8,55.0,134,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 04:00:00,33,11,8,10,416.0,12.0,53.6,50.0,93,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 03:00:00,37,13,9,9,417.0,12.0,53.6,49.0,29,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 02:00:00,37,13,9,11,417.0,12.0,53.6,48.0,35,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 01:00:00,50,17,12,14,417.0,12.0,53.6,47.0,41,,
