Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-05-01 11:00:00,53,19,13,26,1331.7,23.0,73.4,28.7,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-01 10:00:00,54,19,14,24,1322.8,21.6,70.9,30.5,40,,
Asia/Ulaanbaatar UTC+08:00,2020-05-01 09:00:00,59,23,16,27,1311.3,19.7,67.4,35.8,32,,
Asia/Ulaanbaatar UTC+08:00,2020-05-01 08:00:00,76,34,24,44,1300.4,18.1,64.7,39.6,22,,
Asia/Ulaanbaatar UTC+08:00,2020-05-01 07:00:00,77,35,25,42,1289.3,16.4,61.6,44.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-01 06:00:00,59,23,16,25,1284.3,16.1,61.0,45.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-01 05:00:00,50,17,12,18,1285.0,16.4,61.6,43.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-01 04:00:00,37,13,9,11,1287.3,17.1,62.8,41.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-01 03:00:00,40,14,10,15,1290.5,18.1,64.5,38.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-01 02:00:00,43,15,11,18,1296.5,18.9,66.0,35.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-01 01:00:00,64,26,19,30,1302.0,20.0,67.9,31.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-01 00:00:00,110,55,39,86,1309.3,20.6,69.1,28.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-30 23:00:00,189,172,130,283,1323.0,22.3,72.0,25.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-30 22:00:00,173,129,98,223,1323.0,22.9,73.2,22.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-30 21:00:00,169,120,91,202,1321.8,23.7,74.7,20.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-30 20:00:00,74,33,23,46,1320.8,24.9,76.9,18.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-30 19:00:00,45,16,11,20,1324.0,25.7,78.3,18.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-30 18:00:00,37,13,9,15,1326.0,26.0,78.8,18.0,26,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-30 17:00:00,55,20,14,29,1326.8,26.2,79.2,19.6,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-30 16:00:00,52,18,13,24,1338.5,26.7,80.1,20.0,31,,
Asia/Ulaanbaatar UTC+08:00,2020-04-26 18:00:00,72,31,22,40,443.0,23.3,73.9,25.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-26 17:00:00,67,28,20,36,442.8,24.4,75.9,24.3,36,,
Asia/Ulaanbaatar UTC+08:00,2020-04-26 16:00:00,60,23,16,28,443.4,24.9,76.9,23.8,35,,
Asia/Ulaanbaatar UTC+08:00,2020-04-26 15:00:00,75,34,24,47,445.0,25.3,77.5,24.0,28,,
Asia/Ulaanbaatar UTC+08:00,2020-04-26 14:00:00,73,32,23,50,441.5,24.6,76.3,25.3,28,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 13:00:00,68,29,20,35,439.3,23.4,74.1,26.3,24,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 12:00:00,78,36,25,44,437.8,22.1,71.7,28.3,24,,
Asia/Ulaanbaatar UTC+08:00,2020-04-26 11:00:00,83,39,27,49,435.0,20.5,68.8,30.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-26 10:00:00,107,54,38,53,435.5,18.5,65.3,30.3,28,,
Asia/Ulaanbaatar UTC+08:00,2020-04-26 09:00:00,79,36,26,30,434.0,14.6,58.2,29.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 08:00:00,86,41,29,35,425.5,11.1,52.0,30.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 07:00:00,98,50,35,44,422.5,9.8,49.6,31.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 06:00:00,88,43,30,47,423.3,9.8,49.7,31.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 05:00:00,81,38,27,33,422.8,10.4,50.6,30.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 04:00:00,88,43,30,41,426.5,10.8,51.4,29.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 03:00:00,86,41,29,40,425.3,11.4,52.4,28.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 02:00:00,91,45,31,45,424.0,11.7,53.0,28.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 01:00:00,92,45,32,41,425.5,12.1,53.7,27.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-26 00:00:00,146,74,54,109,427.5,12.8,55.0,26.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-25 23:00:00,152,78,58,120,429.3,13.3,55.9,25.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-25 22:00:00,147,74,54,89,434.8,14.4,57.9,25.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-25 21:00:00,171,125,95,185,441.3,15.9,60.6,23.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-25 20:00:00,150,76,55,80,433.0,16.8,62.3,22.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-25 19:00:00,81,38,26,36,431.0,17.9,64.3,21.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-25 18:00:00,69,29,21,26,433.5,19.3,66.8,21.0,100,0,0
Asia/Ulaanbaatar UTC+08:00,2020-04-25 17:00:00,75,34,24,35,434.5,20.2,68.3,20.5,22,,
Asia/Ulaanbaatar UTC+08:00,2020-04-25 16:00:00,86,41,29,54,436.3,20.4,68.8,21.0,31,,
Asia/Ulaanbaatar UTC+08:00,2020-04-25 15:00:00,75,34,24,38,436.8,20.8,69.5,20.3,43,,
Asia/Ulaanbaatar UTC+08:00,2020-04-25 14:00:00,75,34,24,40,436.5,21.1,69.9,19.3,63,,
Asia/Ulaanbaatar UTC+08:00,2020-04-25 13:00:00,74,33,23,38,439.0,21.2,70.2,19.5,52,,
Asia/Ulaanbaatar UTC+08:00,2020-04-25 12:00:00,72,32,22,37,439.5,19.5,67.1,20.0,45,,
Asia/Ulaanbaatar UTC+08:00,2020-04-25 11:00:00,92,45,32,56,433.5,17.8,64.1,20.8,35,,
