Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-02-27 13:00:00,55,20,14,17,401.0,,,59.0,13,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 12:00:00,65,27,19,27,403.8,,,60.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 11:00:00,100,50,35,51,404.3,,,63.0,13,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 10:00:00,143,72,53,83,403.3,,,64.0,15,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 09:00:00,129,65,47,77,394.8,,,64.8,17,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 08:00:00,203,202,152,191,397.0,,,64.0,28,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 07:00:00,145,73,53,79,416.3,,,62.5,29,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 06:00:00,81,38,26,39,423.0,,,62.8,23,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 05:00:00,65,27,19,31,420.7,,,63.0,19,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 04:00:00,82,39,27,40,415.8,,,64.0,18,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 03:00:00,146,73,54,75,426.0,,,66.3,16,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 02:00:00,133,67,49,73,419.7,,,66.7,13,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 01:00:00,158,92,68,103,421.3,,,67.8,11,,
Asia/Ulaanbaatar UTC+08:00,2020-02-27 00:00:00,169,120,91,134,428.8,,,68.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-02-26 23:00:00,98,49,34,49,423.7,,,68.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-02-26 22:00:00,102,51,36,51,424.0,,,66.8,16,,
Asia/Ulaanbaatar UTC+08:00,2020-02-26 21:00:00,69,29,21,30,413.0,,,63.3,16,,
Asia/Ulaanbaatar UTC+08:00,2020-02-26 20:00:00,57,21,15,19,408.3,,,64.8,12,,
Asia/Ulaanbaatar UTC+08:00,2020-02-26 19:00:00,29,10,7,9,400.0,,,65.5,15,,
Asia/Ulaanbaatar UTC+08:00,2020-02-26 18:00:00,25,9,6,8,398.0,,,64.0,18,,
Asia/Ulaanbaatar UTC+08:00,2020-02-26 17:00:00,29,10,7,8,397.5,,,63.0,20,,
