Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-03-25 10:00:00,0,0,0,0,393.3,,,46.7,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-25 09:00:00,1,0,0,0,393.3,,,48.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-25 08:00:00,3,1,1,1,388.3,-6.1,21.1,48.2,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-24 18:00:00,24,8,6,19,416.8,11.3,52.3,34.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 17:00:00,8,3,2,2,420.5,14.8,58.6,24.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 16:00:00,0,0,0,0,421.0,15.6,60.1,24.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 15:00:00,0,0,0,0,424.3,16.1,60.9,25.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 14:00:00,1,0,0,0,441.8,16.2,61.2,26.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 13:00:00,1,0,0,0,437.3,15.4,59.7,26.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 12:00:00,3,1,1,1,428.3,14.3,57.8,27.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 11:00:00,0,0,0,0,459.0,13.5,56.3,30.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 10:00:00,3,1,1,1,442.8,10.5,50.9,32.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 09:00:00,0,0,0,0,427.5,7.4,45.3,38.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 08:00:00,9,3,2,2,421.3,5.7,42.3,40.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 07:00:00,0,0,0,1,417.3,5.9,42.6,39.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 06:00:00,3,1,1,1,412.5,5.8,42.4,39.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 05:00:00,1,0,0,0,411.8,6.1,42.9,38.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 04:00:00,1,0,0,0,415.5,6.9,44.4,37.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 03:00:00,1,0,0,0,412.3,7.0,44.5,36.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 02:00:00,1,0,0,0,416.8,7.2,44.9,35.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-24 01:00:00,1,0,0,0,421.0,7.9,46.3,33.8,,,
