Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-05-20 15:00:00,41,14,10,16,399.0,15.0,59.0,59.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 14:00:00,29,10,7,13,399.0,16.0,60.8,49.0,13,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 13:00:00,29,10,7,12,400.0,17.0,62.6,45.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 12:00:00,29,10,7,14,403.0,19.0,66.2,38.0,13,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 11:00:00,33,11,8,16,403.0,19.0,66.2,37.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 10:00:00,57,21,15,45,415.0,19.0,66.2,35.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 09:00:00,29,10,7,19,406.0,18.0,64.4,39.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 08:00:00,29,10,7,16,402.0,15.0,59.0,42.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 07:00:00,29,10,7,18,404.0,15.0,59.0,43.0,15,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 06:00:00,29,10,7,16,402.0,12.0,53.6,49.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 05:00:00,29,10,7,17,401.0,10.0,50.0,50.0,15,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 04:00:00,33,11,8,23,401.0,10.0,50.0,50.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 03:00:00,29,10,7,17,399.0,11.0,51.8,48.0,10,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 02:00:00,41,14,10,27,402.0,10.0,50.0,47.0,10,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 01:00:00,29,10,7,17,401.0,12.0,53.6,46.0,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 00:00:00,21,7,5,13,401.0,12.0,53.6,44.0,22,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 23:00:00,33,11,8,15,402.0,13.0,55.4,40.0,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 22:00:00,41,14,10,18,406.0,14.0,57.2,37.0,28,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 21:00:00,61,24,17,57,417.0,16.0,60.8,34.0,22,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 20:00:00,37,13,9,30,406.0,17.0,62.6,32.0,22,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 19:00:00,33,11,8,18,404.0,18.0,64.4,31.0,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 18:00:00,25,9,6,14,402.0,19.0,66.2,32.0,15,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 17:00:00,21,7,5,9,403.0,20.0,68.0,29.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 16:00:00,17,6,4,8,403.0,20.0,68.0,29.0,10,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 15:00:00,17,6,4,17,404.0,20.0,68.0,29.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 14:00:00,12,4,3,7,405.0,20.0,68.0,29.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 13:00:00,17,6,4,11,406.0,22.0,71.6,28.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 12:00:00,17,6,4,4,407.0,23.0,73.4,28.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 11:00:00,21,7,5,13,406.0,22.0,71.6,30.0,10,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 10:00:00,63,26,18,60,418.0,26.0,78.8,28.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 09:00:00,74,33,23,71,419.0,25.0,77.0,30.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 08:00:00,25,9,6,13,408.0,20.0,68.0,36.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 07:00:00,29,10,7,27,403.0,15.0,59.0,42.0,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 06:00:00,33,11,8,26,404.0,11.0,51.8,50.0,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 05:00:00,17,6,4,10,400.0,8.0,46.4,56.0,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 04:00:00,29,10,7,17,400.0,8.0,46.4,55.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 03:00:00,41,14,10,22,403.0,9.0,48.2,54.0,15,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 02:00:00,41,14,10,23,405.0,9.0,48.2,52.0,9,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 01:00:00,25,9,6,13,405.0,10.0,50.0,50.0,10,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 00:00:00,25,9,6,13,404.0,12.0,53.6,48.0,47,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 23:00:00,29,10,7,17,407.0,13.0,55.4,45.0,33,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 22:00:00,33,11,8,18,406.0,15.0,59.0,42.0,33,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 21:00:00,37,13,9,16,411.0,16.0,60.8,39.0,47,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 20:00:00,17,6,4,9,404.0,17.0,62.6,36.0,57,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 19:00:00,12,4,3,6,403.0,18.0,64.4,34.0,47,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 18:00:00,17,6,4,7,405.0,19.0,66.2,33.0,28,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 17:00:00,12,4,3,6,406.0,20.0,68.0,32.0,15,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 16:00:00,12,4,3,5,407.0,20.0,68.0,30.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-18 15:00:00,17,6,4,12,407.0,21.0,69.8,30.0,11,,
