Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2019-12-16 04:00:00,50,17,12,13,431.0,,,60.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-16 03:00:00,157,90,67,82,449.0,-7.8,18.0,59.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-16 02:00:00,194,185,139,185,458.0,-8.1,17.4,59.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-16 01:00:00,247,247,197,259,491.0,-8.3,17.1,58.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-16 00:00:00,556,415,586,807,528.0,-9.2,15.4,58.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 23:00:00,154,83,61,79,456.0,-9.2,15.4,56.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 22:00:00,224,224,174,216,465.0,-9.7,14.5,56.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 20:00:00,168,117,88,119,466.0,-9.6,14.7,56.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 19:00:00,153,81,60,74,442.0,-9.6,14.7,54.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 18:00:00,124,63,45,56,459.0,-8.8,16.2,54.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 17:00:00,70,30,21,29,447.0,-8.9,16.0,54.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 16:00:00,82,39,27,36,441.0,-8.4,16.9,53.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 15:00:00,114,58,41,51,438.0,-8.7,16.3,53.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 14:00:00,84,40,28,34,432.0,-9.3,15.3,53.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 13:00:00,93,46,32,40,445.0,-9.5,14.9,53.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 12:00:00,95,47,33,44,431.0,-10.4,13.3,55.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 11:00:00,91,44,31,38,423.0,-12.3,9.9,57.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 10:00:00,107,54,38,48,420.0,-13.9,7.0,60.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 09:00:00,144,73,53,65,418.0,-15.3,4.5,63.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 08:00:00,186,162,124,151,417.8,-16.0,3.2,63.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 07:00:00,110,55,39,47,412.0,-15.5,4.1,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 06:00:00,129,65,47,54,411.0,-15.6,3.9,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 05:00:00,170,121,92,108,421.0,-15.4,4.3,62.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 04:00:00,188,167,127,157,431.0,-14.9,5.2,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 03:00:00,164,106,80,96,426.0,-14.9,5.2,62.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 02:00:00,165,109,82,98,435.0,-14.1,6.6,60.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 01:00:00,284,284,234,292,440.0,-13.9,7.0,62.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-15 00:00:00,245,245,195,244,435.0,-13.5,7.7,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 23:00:00,205,205,155,212,443.0,-12.3,9.9,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 22:00:00,237,237,187,263,446.0,-11.9,10.6,59.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 20:00:00,464,406,446,608,518.0,-9.9,14.2,58.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 19:00:00,443,404,415,564,509.0,-8.3,17.1,56.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 18:00:00,180,147,112,146,462.0,-7.3,18.9,55.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 17:00:00,157,91,68,86,461.0,-6.3,20.7,53.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 16:00:00,99,50,35,42,471.0,-5.3,22.5,52.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 15:00:00,157,90,67,85,467.0,-5.5,22.1,53.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 14:00:00,160,99,74,90,451.0,-6.5,20.3,52.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 13:00:00,102,51,36,42,465.0,-6.8,19.8,51.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 12:00:00,74,33,23,30,460.0,-7.0,19.4,51.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 11:00:00,117,59,42,50,443.0,-7.8,18.0,55.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 10:00:00,149,75,55,72,436.0,-12.0,10.4,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 08:00:00,56,21,14,18,420.1,,,61.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-14 07:00:00,175,134,103,124,431.0,-12.0,10.4,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 05:00:00,225,225,175,241,468.0,,,60.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-14 04:00:00,297,298,248,338,492.0,,,59.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-14 03:00:00,218,218,168,226,483.0,-9.3,15.3,58.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 02:00:00,80,37,26,31,451.0,-8.7,16.3,57.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 01:00:00,223,222,172,229,464.0,-7.7,18.1,55.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-14 00:00:00,172,127,96,119,445.0,-7.7,18.1,56.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 23:00:00,176,137,104,136,446.0,-7.9,17.8,57.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 22:00:00,139,70,51,59,491.0,-8.7,16.3,60.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 20:00:00,112,56,40,50,470.0,-7.9,17.8,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 19:00:00,151,76,56,68,470.0,-8.2,17.2,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 18:00:00,141,71,52,68,471.0,-8.2,17.2,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 17:00:00,149,75,55,66,457.0,-7.8,18.0,60.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 16:00:00,112,56,40,49,447.0,-7.0,19.4,59.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 15:00:00,132,66,48,59,448.0,-6.9,19.6,60.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 14:00:00,114,58,41,52,449.0,-7.5,18.5,60.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 13:00:00,127,64,46,58,447.0,-8.0,17.6,59.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 12:00:00,158,93,69,96,469.0,-6.0,21.2,53.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 11:00:00,198,195,146,190,481.0,-8.7,16.3,59.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 10:00:00,232,232,182,247,444.0,-13.7,7.3,65.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 09:00:00,267,267,217,286,438.0,-14.9,5.2,66.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 08:00:00,292,292,242,296,437.3,-14.9,5.1,66.2,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 07:00:00,208,207,157,198,426.0,-14.9,5.2,66.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 06:00:00,164,106,80,95,427.0,-14.4,6.1,65.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 05:00:00,175,134,103,125,438.0,-13.4,7.9,65.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 04:00:00,183,154,118,138,451.0,-13.6,7.5,66.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 03:00:00,321,321,271,333,459.0,-13.6,7.5,65.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 02:00:00,334,334,284,359,455.0,-12.6,9.3,65.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 01:00:00,353,353,303,380,471.0,-12.3,9.9,65.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-13 00:00:00,271,271,221,293,487.0,-11.2,11.8,63.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 23:00:00,252,252,202,267,476.0,-10.5,13.1,64.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 22:00:00,584,417,628,848,561.0,-11.5,11.3,65.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 20:00:00,234,234,184,237,496.0,-9.7,14.5,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 19:00:00,184,157,120,157,469.0,-9.4,15.1,60.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 18:00:00,195,187,141,184,520.0,-8.8,16.2,59.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 17:00:00,171,124,94,125,467.0,-8.6,16.5,57.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 16:00:00,215,214,164,223,473.0,-7.7,18.1,54.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 15:00:00,231,231,181,235,484.0,-7.6,18.3,54.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 14:00:00,189,169,129,166,472.0,-8.1,17.4,53.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 13:00:00,155,85,63,77,471.0,-9.0,15.8,52.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 12:00:00,162,102,77,92,457.0,-9.3,15.3,52.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 10:00:00,167,114,86,100,431.0,,,59.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-12 08:00:00,327,327,277,346,429.1,,,63.1,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-12 07:00:00,153,80,59,68,415.0,,,62.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-12 06:00:00,183,154,118,145,414.0,,,63.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-12 05:00:00,185,160,122,150,417.0,,,62.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-12 04:00:00,170,122,93,112,419.0,,,62.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-12 03:00:00,179,143,110,138,423.0,,,63.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-12 02:00:00,305,305,255,336,441.0,,,63.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-12 01:00:00,234,234,184,239,431.0,-14.7,5.5,63.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-12 00:00:00,367,367,317,404,443.0,-14.8,5.4,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-11 23:00:00,276,276,226,286,464.0,-13.8,7.2,61.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-11 22:00:00,183,153,117,143,450.0,-12.4,9.7,57.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-11 20:00:00,141,71,52,62,459.0,-10.9,12.4,55.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-11 18:00:00,76,34,24,27,449.0,,,53.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-11 17:00:00,84,40,28,36,446.0,,,51.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-11 15:00:00,70,30,21,22,434.0,,,50.0,,,
Asia/Ulaanbaatar UTC+08:00,2019-12-11 14:00:00,72,31,22,26,439.0,-9.9,14.2,50.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-11 13:00:00,84,40,28,32,440.0,-10.7,12.7,52.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-11 12:00:00,86,41,29,37,428.0,-12.0,10.4,52.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-11 11:00:00,86,41,29,35,428.0,-13.7,7.3,54.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-11 10:00:00,102,51,36,43,423.0,-14.9,5.2,56.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2019-12-11 09:00:00,134,68,49,61,416.0,-16.6,2.1,58.0,,0,0
