Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-05-03 21:00:00,70,30,21,98,400.0,15.1,59.2,26.8,30,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 20:00:00,53,19,13,52,397.0,15.4,59.7,27.8,35,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 19:00:00,113,57,40,307,399.0,17.2,62.9,21.3,30,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 18:00:00,24,8,6,23,400.0,18.7,65.7,16.0,30,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 17:00:00,14,5,4,15,402.5,19.6,67.3,18.0,22,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 16:00:00,25,9,6,35,403.0,20.1,68.2,18.5,20,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 15:00:00,22,8,5,41,404.3,20.1,68.2,18.0,14,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 14:00:00,17,6,4,26,403.3,19.0,66.1,22.3,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 13:00:00,30,10,7,26,404.0,18.2,64.7,25.3,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 12:00:00,22,8,5,18,402.3,16.5,61.7,29.0,10,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 11:00:00,22,8,5,14,399.8,13.8,56.8,35.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-03 10:00:00,53,19,13,34,400.3,12.8,55.0,38.0,10,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 09:00:00,70,30,21,61,405.5,12.2,54.0,42.3,21,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 08:00:00,68,29,20,42,400.8,7.1,44.8,50.3,21,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 07:00:00,70,30,21,32,395.0,3.6,38.5,59.0,22,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 06:00:00,66,28,20,45,392.8,2.0,35.5,64.5,22,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 05:00:00,65,27,19,32,387.3,1.4,34.5,66.3,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 04:00:00,91,45,31,61,396.5,1.5,34.7,67.5,14,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 03:00:00,102,51,36,75,395.5,1.9,35.3,67.3,14,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 02:00:00,64,26,18,37,385.5,2.4,36.2,67.8,14,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 01:00:00,71,31,22,54,389.8,2.7,36.8,68.8,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-03 00:00:00,83,39,27,61,392.8,3.1,37.7,66.8,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-02 23:00:00,44,15,11,46,383.8,3.7,38.6,66.0,22,,
Asia/Ulaanbaatar UTC+08:00,2020-05-02 22:00:00,54,19,14,54,386.3,5.0,40.9,62.5,26,,
Asia/Ulaanbaatar UTC+08:00,2020-05-02 21:00:00,61,24,17,59,388.0,5.9,42.6,61.8,,,
