Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-05-11 08:00:00,33,11,8,13,401.5,12.9,55.2,42.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-11 07:00:00,21,7,5,9,399.3,11.3,52.3,40.0,23,,
Asia/Ulaanbaatar UTC+08:00,2020-05-11 06:00:00,51,18,12,15,399.5,9.2,48.5,42.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-11 05:00:00,21,7,5,6,400.8,7.3,45.0,43.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-11 04:00:00,14,5,4,6,400.0,7.2,44.9,42.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-11 03:00:00,22,8,5,7,400.3,7.1,44.8,43.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-11 02:00:00,62,25,18,24,408.3,6.6,43.9,46.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-11 01:00:00,115,58,41,53,422.0,6.1,43.0,49.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-11 00:00:00,123,62,45,55,416.3,5.7,42.3,49.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 23:00:00,104,52,37,42,413.5,6.1,42.9,47.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 22:00:00,172,127,96,136,432.3,8.1,46.6,41.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 21:00:00,162,101,76,95,414.8,9.5,49.1,39.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 20:00:00,96,48,34,39,406.0,10.1,50.1,38.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 19:00:00,52,18,13,14,400.8,10.5,50.9,37.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 18:00:00,43,15,11,12,400.3,10.4,50.8,37.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 17:00:00,23,8,6,7,399.8,10.6,51.1,37.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 16:00:00,26,9,6,7,400.5,11.2,52.1,36.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 15:00:00,26,9,6,7,399.5,10.4,50.7,36.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 14:00:00,23,8,6,6,398.5,9.6,49.3,38.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 13:00:00,29,10,7,7,397.0,7.8,46.0,43.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 12:00:00,29,10,7,8,395.0,6.0,42.8,46.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 11:00:00,55,20,14,15,395.0,5.9,42.6,46.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 10:00:00,76,35,24,26,395.5,4.7,40.4,52.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 09:00:00,62,25,18,18,395.8,3.7,38.7,57.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 08:00:00,62,25,18,18,397.0,3.0,37.4,58.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 07:00:00,53,19,13,14,397.3,2.4,36.2,57.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 06:00:00,39,14,10,10,399.8,0.8,33.4,57.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 05:00:00,66,28,20,24,403.5,-0.2,31.6,55.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 04:00:00,65,27,19,41,407.8,0.2,32.3,53.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 03:00:00,51,18,12,14,405.0,0.8,33.4,52.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 02:00:00,26,9,6,7,399.3,1.5,34.7,51.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 01:00:00,46,16,11,14,403.0,2.3,36.1,49.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-10 00:00:00,87,42,29,39,406.0,2.9,37.1,47.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-09 23:00:00,79,36,25,32,408.0,3.9,38.9,44.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-09 22:00:00,63,25,18,20,399.0,4.5,40.2,43.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-09 21:00:00,81,38,27,30,399.8,4.5,40.2,42.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-09 20:00:00,60,24,17,18,395.0,4.9,40.7,40.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-09 19:00:00,40,14,10,11,394.8,5.3,41.5,40.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-09 18:00:00,29,10,7,8,395.5,5.7,42.3,42.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-09 17:00:00,32,11,8,11,395.3,6.9,44.4,40.5,,0,0
