Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-04-24 03:00:00,69,29,21,51,417.5,10.5,51.0,21.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 02:00:00,64,26,18,46,415.3,11.1,52.1,21.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 01:00:00,84,40,28,77,420.5,11.5,52.6,21.3,97,,
Asia/Ulaanbaatar UTC+08:00,2020-04-24 00:00:00,133,67,49,113,431.3,11.8,53.2,21.3,141,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 23:00:00,163,104,78,200,448.5,12.4,54.2,21.0,100,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 22:00:00,185,158,121,284,458.5,13.2,55.7,20.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 21:00:00,185,159,122,295,452.3,13.9,57.1,20.0,59,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 20:00:00,185,158,121,266,444.8,14.7,58.4,19.5,41,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 19:00:00,86,41,29,54,411.3,15.0,59.0,20.0,18,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 18:00:00,44,15,11,18,407.3,15.4,59.7,19.0,15,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 17:00:00,23,8,6,13,408.8,16.1,60.9,16.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 16:00:00,13,4,3,8,411.4,15.2,59.3,13.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 15:00:00,10,4,3,12,414.8,14.4,57.9,12.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 14:00:00,9,3,2,7,418.5,13.6,56.4,14.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 13:00:00,13,5,3,9,425.5,12.0,53.6,16.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 12:00:00,14,5,4,9,417.3,9.8,49.7,17.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 11:00:00,26,9,6,21,421.5,7.5,45.6,18.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 10:00:00,37,13,9,30,424.3,5.6,42.0,20.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 09:00:00,63,25,18,36,434.5,4.3,39.7,21.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 08:00:00,72,32,22,52,420.5,3.2,37.8,22.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 07:00:00,61,24,17,33,424.3,2.7,36.9,22.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 06:00:00,92,45,32,71,447.8,2.5,36.6,20.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 05:00:00,86,41,29,64,429.3,2.8,37.0,20.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 04:00:00,87,42,29,73,428.8,3.6,38.4,19.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 03:00:00,109,55,39,96,432.8,4.1,39.3,19.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 02:00:00,137,69,50,116,433.3,4.5,40.2,18.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 01:00:00,162,102,76,170,446.8,5.2,41.3,18.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-23 00:00:00,170,122,92,198,447.3,5.9,42.6,17.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 23:00:00,165,109,82,186,438.5,6.4,43.6,16.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 22:00:00,164,107,81,190,441.8,7.3,45.1,15.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 21:00:00,165,109,83,193,441.0,8.1,46.6,15.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 20:00:00,116,58,42,89,415.8,8.7,47.7,15.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 19:00:00,58,22,16,33,407.5,9.0,48.3,14.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 18:00:00,31,11,8,13,407.8,9.7,49.4,15.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 17:00:00,26,9,6,12,409.3,10.4,50.7,15.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 16:00:00,15,5,4,6,407.2,9.0,48.2,16.1,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 15:00:00,13,5,3,7,407.0,8.1,46.5,17.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 14:00:00,13,5,3,5,416.3,7.1,44.8,18.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 13:00:00,17,6,4,5,414.0,5.8,42.4,19.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 12:00:00,14,5,4,11,412.3,4.5,40.2,21.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 11:00:00,14,5,4,7,413.0,3.3,38.0,22.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 10:00:00,33,11,8,14,410.8,2.2,36.0,23.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 09:00:00,30,10,7,20,416.3,1.0,33.9,24.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 08:00:00,45,16,11,25,417.3,0.3,32.5,25.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 07:00:00,45,16,11,29,414.5,,,25.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 06:00:00,62,25,18,36,418.5,,,24.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 05:00:00,57,21,15,32,420.3,0.3,32.5,23.7,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 04:00:00,76,34,24,50,426.0,0.6,33.1,23.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 03:00:00,92,45,32,63,426.3,1.2,34.1,22.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 02:00:00,60,23,16,33,415.5,2.0,35.6,22.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 01:00:00,70,30,21,46,418.3,2.8,37.1,20.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-22 00:00:00,107,54,38,79,418.0,3.3,38.0,19.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 23:00:00,105,53,37,72,420.0,3.9,39.0,18.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 22:00:00,152,78,57,122,426.3,4.3,39.8,18.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 21:00:00,139,70,51,114,424.5,5.0,40.9,17.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 20:00:00,62,25,18,37,412.8,5.3,41.5,17.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 19:00:00,46,16,11,19,409.3,5.1,41.1,17.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 18:00:00,28,10,7,11,403.8,5.1,41.2,16.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 17:00:00,19,6,5,15,404.0,5.9,42.6,16.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 16:00:00,11,4,3,7,402.7,5.2,41.3,16.6,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 15:00:00,13,5,3,11,404.3,4.5,40.1,18.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 14:00:00,12,4,3,9,408.8,3.9,39.1,19.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 13:00:00,9,3,2,8,410.5,3.1,37.7,20.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 12:00:00,12,4,3,6,408.5,2.4,36.2,21.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 11:00:00,14,5,4,8,414.3,2.0,35.6,23.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 10:00:00,18,6,4,9,412.3,1.0,33.9,23.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 09:00:00,12,4,3,6,409.3,0.3,32.5,24.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 08:00:00,28,10,7,9,410.8,0.1,32.2,25.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 07:00:00,17,6,4,7,406.4,,,25.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 06:00:00,34,12,8,20,408.5,,,24.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 05:00:00,29,10,7,16,407.0,,,24.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 04:00:00,25,9,6,20,408.0,0.2,32.4,23.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-21 03:00:00,21,7,5,12,405.3,0.3,32.6,22.8,,,
