Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-04-01 10:00:00,102,51,36,41,435.3,,,33.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 09:00:00,139,70,51,59,429.0,,,36.5,5,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 08:00:00,206,205,155,178,438.0,,,40.0,7,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 07:00:00,180,146,112,131,439.3,,,40.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 06:00:00,108,54,39,44,424.8,,,36.8,19,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 05:00:00,58,22,15,18,425.5,,,36.8,19,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 04:00:00,68,29,20,23,430.5,,,35.3,15,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 03:00:00,69,30,21,23,434.3,,,35.0,8,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 02:00:00,81,38,26,30,433.8,,,34.0,9,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 01:00:00,146,74,54,60,440.8,,,33.8,10,,
Asia/Ulaanbaatar UTC+08:00,2020-04-01 00:00:00,164,107,81,95,450.5,,,33.3,13,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 23:00:00,195,188,142,175,452.8,,,31.3,19,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 22:00:00,155,85,63,68,438.0,,,29.5,33,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 21:00:00,172,126,96,113,440.3,,,30.3,30,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 20:00:00,187,165,126,149,450.5,,,31.0,23,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 19:00:00,155,85,63,72,440.3,0.6,33.1,28.5,9,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 18:00:00,65,27,19,21,433.8,1.3,34.4,26.0,12,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 17:00:00,60,23,16,19,435.5,1.7,35.0,28.0,17,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 16:00:00,14,5,4,4,435.0,1.4,34.5,28.5,21,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 15:00:00,60,23,16,25,435.0,1.1,33.9,30.0,19,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 14:00:00,13,5,3,4,433.5,0.6,33.0,29.5,14,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 13:00:00,10,4,3,4,431.3,0.2,32.3,32.3,8,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 12:00:00,15,5,4,5,431.0,,,35.5,11,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 11:00:00,31,11,8,9,428.0,,,38.3,15,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 10:00:00,72,32,22,24,429.3,,,46.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-03-31 09:00:00,128,64,46,51,431.5,-5.2,22.7,49.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-31 08:00:00,158,94,70,73,429.0,-6.9,19.7,51.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-31 07:00:00,188,166,127,139,428.8,-8.0,17.6,50.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-31 06:00:00,152,77,57,58,426.0,-8.0,17.6,49.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-31 05:00:00,100,51,36,37,427.0,-7.5,18.5,48.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-31 04:00:00,92,45,32,35,426.5,-7.1,19.2,47.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-31 03:00:00,76,34,24,27,425.3,-6.7,19.9,45.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-31 02:00:00,74,33,23,24,429.3,-5.6,22.0,43.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-31 01:00:00,36,13,9,9,420.8,-5.0,22.9,42.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-31 00:00:00,63,26,18,19,422.8,-4.7,23.6,40.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 23:00:00,89,43,30,34,425.0,-4.0,24.8,39.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 22:00:00,96,48,34,37,427.0,-2.9,26.7,36.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 21:00:00,56,21,15,17,425.5,-2.2,28.1,35.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 20:00:00,71,31,22,22,425.3,-1.6,29.1,33.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 19:00:00,86,41,29,31,423.8,-1.4,29.6,32.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 18:00:00,37,13,9,10,424.5,-0.2,31.7,29.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 17:00:00,33,11,8,9,426.0,0.6,33.0,29.0,10,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 16:00:00,34,12,8,12,427.5,1.1,33.9,30.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 15:00:00,33,11,8,14,428.0,1.2,34.2,31.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 14:00:00,28,10,7,9,430.0,1.6,34.8,32.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 13:00:00,24,8,6,9,429.3,1.5,34.7,33.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 12:00:00,18,6,4,5,428.8,1.5,34.7,38.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-03-30 11:00:00,54,19,13,13,426.3,0.3,32.6,45.0,8,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 10:00:00,61,24,17,18,423.5,0.1,32.1,49.0,6,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 09:00:00,58,22,16,17,418.3,,,55.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 08:00:00,61,24,17,18,418.3,,,61.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 07:00:00,66,28,20,21,417.8,,,62.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 06:00:00,60,24,17,17,418.3,,,60.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 05:00:00,59,23,16,16,421.3,,,51.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 04:00:00,61,24,17,17,420.8,,,46.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 03:00:00,53,19,13,13,420.3,0.1,32.1,44.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 02:00:00,35,12,9,9,421.8,0.4,32.7,41.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 01:00:00,34,12,8,9,423.8,0.7,33.2,38.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-30 00:00:00,43,15,11,11,424.5,0.9,33.6,35.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 23:00:00,59,23,16,17,427.0,1.4,34.6,31.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 22:00:00,178,141,108,129,446.5,2.2,35.9,29.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 21:00:00,292,293,243,298,471.0,2.4,36.3,29.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 20:00:00,182,152,116,132,449.3,3.5,38.3,27.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 19:00:00,180,145,111,131,443.8,5.7,42.3,22.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 18:00:00,76,35,24,28,434.5,7.0,44.6,20.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 17:00:00,57,21,15,19,434.8,7.5,45.5,19.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 16:00:00,35,12,9,13,435.5,7.5,45.6,19.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 15:00:00,29,10,7,9,436.5,7.2,44.9,19.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 14:00:00,24,8,6,10,435.5,6.6,43.9,19.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 13:00:00,27,9,7,10,435.0,5.8,42.5,22.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 12:00:00,64,26,19,30,431.8,4.3,39.7,26.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 11:00:00,81,38,27,33,434.3,2.5,36.5,30.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 10:00:00,114,57,41,47,437.0,0.9,33.5,33.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 09:00:00,163,105,79,86,428.3,,,36.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-03-29 08:00:00,152,78,57,61,424.0,,,37.5,,,
