Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-05-20 12:00:00,33,11,8,11,426.0,15.2,59.4,46.0,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 11:00:00,25,9,6,8,423.0,15.0,59.0,46.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-20 09:00:00,33,11,8,11,427.0,15.2,59.4,44.0,14,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 08:00:00,29,10,7,14,427.0,13.4,56.0,48.0,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 07:00:00,29,10,7,7,426.0,11.3,52.4,53.0,23,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 06:00:00,45,16,11,13,426.0,10.2,50.3,53.0,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 05:00:00,41,14,10,11,426.0,10.3,50.5,52.0,23,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 04:00:00,21,7,5,6,421.0,10.1,50.3,52.0,23,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 03:00:00,29,10,7,7,423.0,10.4,50.8,52.0,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 02:00:00,17,6,4,4,423.0,9.9,49.8,52.0,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 01:00:00,17,6,4,5,422.0,10.9,51.6,48.0,27,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 00:00:00,12,4,3,3,425.0,11.3,52.4,47.0,27,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 23:00:00,17,6,4,5,426.0,12.3,54.2,43.0,44,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 22:00:00,29,10,7,16,428.0,13.4,56.1,39.0,44,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 21:00:00,55,20,14,18,427.0,15.2,59.4,34.0,90,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 19:00:00,17,6,4,5,426.0,17.2,63.0,30.0,90,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 18:00:00,21,7,5,8,426.0,17.9,64.2,32.0,26,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 17:00:00,12,4,3,3,429.0,18.6,65.5,30.0,20,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 16:00:00,17,6,4,4,429.0,19.5,67.1,29.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 15:00:00,29,10,7,13,430.0,19.1,66.4,30.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 14:00:00,21,7,5,12,428.0,18.0,64.4,32.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 13:00:00,25,9,6,10,426.0,17.4,63.3,35.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 12:00:00,17,6,4,5,427.0,16.5,61.7,38.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 11:00:00,12,4,3,6,425.0,15.6,60.1,38.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 10:00:00,17,6,4,4,424.0,14.4,57.9,43.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 09:00:00,37,13,9,12,424.0,12.2,54.0,49.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 08:00:00,33,11,8,11,421.0,10.3,50.5,52.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 07:00:00,25,9,6,10,420.0,8.9,48.0,54.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 06:00:00,17,6,4,4,418.0,7.4,45.3,55.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 05:00:00,21,7,5,7,424.0,7.5,45.5,54.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 04:00:00,12,4,3,3,419.0,7.2,45.0,55.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 03:00:00,12,4,3,3,421.0,8.1,46.6,53.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 02:00:00,63,26,18,24,430.0,9.1,48.4,51.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 01:00:00,59,23,16,18,427.0,9.9,49.8,51.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 00:00:00,57,21,15,21,428.0,11.2,52.2,47.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 23:00:00,25,9,6,11,428.0,12.5,54.5,45.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 22:00:00,41,14,10,14,424.0,14.0,57.2,43.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 21:00:00,50,17,12,14,424.0,14.9,58.8,40.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 20:00:00,29,10,7,14,430.0,16.0,60.8,37.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 19:00:00,25,9,6,7,430.0,17.7,63.9,36.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 18:00:00,21,7,5,7,432.0,19.8,67.6,32.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 17:00:00,12,4,3,3,431.0,19.5,67.1,33.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 16:00:00,8,3,2,2,428.0,19.7,67.5,33.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 15:00:00,29,10,7,7,432.0,19.5,67.1,33.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 14:00:00,12,4,3,3,430.0,18.3,64.9,34.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 13:00:00,12,4,3,3,432.0,17.8,64.0,34.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 12:00:00,12,4,3,5,428.0,16.7,62.1,32.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 11:00:00,50,17,12,22,443.0,14.9,58.8,33.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 10:00:00,53,19,13,23,435.0,13.0,55.4,41.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 09:00:00,41,14,10,14,436.0,10.8,51.4,49.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 08:00:00,72,31,22,32,431.0,8.4,47.1,56.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 07:00:00,50,17,12,15,428.0,6.6,43.9,59.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 06:00:00,17,6,4,5,415.0,5.4,41.7,61.0,,0,0
