Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ulaanbaatar UTC+08:00,2020-05-20 15:00:00,57,22,15,17,423.8,12.6,54.6,68.6,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 14:00:00,55,20,14,17,430.6,14.3,57.7,57.9,113,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 13:00:00,30,10,7,11,427.3,15.6,60.0,47.8,135,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 12:00:00,81,37,26,104,429.0,16.5,61.7,44.5,126,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 11:00:00,40,14,10,14,432.0,17.3,63.2,41.4,95,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 10:00:00,35,12,9,11,437.5,18.1,64.7,38.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-20 09:00:00,33,11,8,13,431.3,17.4,63.4,41.3,41,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 08:00:00,34,12,8,13,426.0,14.9,58.7,44.0,76,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 07:00:00,32,11,8,11,424.7,13.5,56.3,47.3,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 06:00:00,34,12,8,11,425.7,11.5,52.8,51.3,151,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 05:00:00,34,12,8,11,427.3,11.3,52.3,49.5,134,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 04:00:00,26,9,6,8,424.8,11.7,53.0,49.5,93,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 03:00:00,54,20,14,18,427.3,11.7,53.0,49.0,29,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 02:00:00,51,18,12,15,427.5,12.6,54.6,45.0,35,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 01:00:00,33,11,8,9,423.5,12.8,55.1,43.8,41,,
Asia/Ulaanbaatar UTC+08:00,2020-05-20 00:00:00,29,10,7,10,426.4,14.0,57.1,41.4,42,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 23:00:00,61,24,17,29,435.7,15.0,59.1,37.3,35,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 22:00:00,68,29,20,37,437.4,15.9,60.7,35.2,25,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 21:00:00,71,31,22,37,433.3,16.5,61.7,33.3,15,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 20:00:00,75,34,24,41,433.5,17.5,63.5,32.3,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 19:00:00,34,12,8,14,430.8,18.0,64.5,30.8,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 18:00:00,21,7,5,8,433.0,18.7,65.6,31.0,16,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 17:00:00,21,7,5,8,438.3,19.2,66.6,30.0,21,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 16:00:00,19,6,5,8,437.8,19.7,67.5,30.0,20,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 15:00:00,32,11,8,11,436.5,20.2,68.3,29.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 14:00:00,21,7,5,13,438.0,20.1,68.2,30.3,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 13:00:00,23,8,6,13,436.7,20.4,68.7,30.7,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 12:00:00,56,21,15,21,440.3,21.5,70.7,32.0,16,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 11:00:00,18,6,4,7,436.8,20.7,69.2,32.8,20,,
Asia/Ulaanbaatar UTC+08:00,2020-05-19 10:00:00,33,11,8,13,441.5,21.0,69.8,34.4,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 09:00:00,37,13,9,14,438.0,19.7,67.4,37.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 08:00:00,28,10,7,9,430.5,16.5,61.7,41.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 07:00:00,30,10,7,11,423.3,13.1,55.5,46.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 06:00:00,23,8,6,6,415.5,9.0,48.2,52.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 05:00:00,52,18,13,18,426.3,8.4,47.2,52.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 04:00:00,60,23,16,21,426.0,9.2,48.5,51.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 03:00:00,54,19,14,21,426.3,9.9,49.9,50.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 02:00:00,55,20,14,22,429.8,10.6,51.1,48.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 01:00:00,68,29,20,30,429.0,11.6,52.9,47.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-19 00:00:00,83,39,28,44,431.0,12.7,54.8,45.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 23:00:00,80,37,26,41,434.0,13.8,56.8,43.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 22:00:00,99,50,35,57,439.0,14.8,58.6,41.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 21:00:00,103,52,37,56,434.5,15.9,60.7,39.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 20:00:00,54,20,14,21,429.0,16.6,61.9,38.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 19:00:00,25,9,6,12,430.0,17.6,63.7,36.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 18:00:00,21,7,5,9,432.3,18.4,65.2,34.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 17:00:00,13,5,3,4,433.8,19.1,66.3,34.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 16:00:00,14,5,4,5,434.5,19.4,66.8,33.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 15:00:00,18,6,4,8,439.8,20.2,68.4,32.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 14:00:00,56,21,15,15,440.5,20.2,68.3,32.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 13:00:00,14,5,4,6,438.8,20.6,69.0,30.5,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 12:00:00,17,6,4,7,443.8,22.1,71.7,26.8,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 11:00:00,41,14,10,19,446.5,21.5,70.6,27.3,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 10:00:00,55,20,14,23,443.8,19.6,67.3,33.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 09:00:00,46,16,11,21,440.2,17.1,62.7,41.4,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-18 08:00:00,44,15,11,19,437.3,15.3,59.6,44.7,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-16 01:00:00,28,10,7,8,397.0,0.2,32.4,69.0,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-16 00:00:00,25,9,6,7,397.8,0.5,33.0,71.8,136,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 23:00:00,30,10,7,8,398.3,0.8,33.4,71.0,130,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 22:00:00,34,12,8,8,400.3,1.1,34.0,70.0,117,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 21:00:00,53,19,13,14,399.5,0.9,33.6,69.5,105,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 20:00:00,55,20,14,14,401.3,1.2,34.2,66.8,73,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 19:00:00,48,16,12,12,400.5,1.7,35.1,65.0,,0,0
Asia/Ulaanbaatar UTC+08:00,2020-05-15 18:00:00,52,18,13,18,401.4,2.0,35.7,58.8,27,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 17:00:00,32,11,8,12,400.8,2.3,36.2,59.8,21,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 16:00:00,45,16,11,14,370.5,2.5,36.4,57.5,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 15:00:00,21,7,5,11,373.2,2.8,37.1,55.6,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 14:00:00,21,7,5,15,374.8,3.8,38.8,56.5,25,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 13:00:00,24,8,6,14,376.5,5.0,41.0,55.0,29,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 12:00:00,36,13,9,28,381.5,6.0,42.8,53.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 11:00:00,38,13,9,25,382.8,6.5,43.7,56.0,14,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 10:00:00,26,9,6,10,383.5,7.0,44.6,58.8,10,,
Asia/Ulaanbaatar UTC+08:00,2020-05-15 09:00:00,25,9,6,16,382.6,7.0,44.6,64.3,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 20:00:00,70,30,21,68,409.3,21.6,70.9,23.8,73,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 19:00:00,46,16,11,25,409.8,22.1,71.8,23.0,11,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 18:00:00,23,8,6,13,411.0,22.3,72.2,23.0,19,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 17:00:00,29,10,7,16,409.3,22.5,72.4,22.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 16:00:00,23,8,6,13,409.5,22.6,72.6,22.5,21,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 15:00:00,29,10,7,15,407.3,22.2,71.9,22.3,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 14:00:00,34,12,8,22,407.8,22.1,71.8,23.3,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 13:00:00,30,10,7,14,412.3,22.6,72.7,26.8,19,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 12:00:00,40,14,10,24,414.0,23.1,73.5,29.0,27,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 11:00:00,64,26,19,30,416.8,22.6,72.7,30.8,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 10:00:00,33,11,8,13,406.8,20.0,68.1,33.5,35,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 09:00:00,27,9,7,8,413.0,17.4,63.4,36.8,26,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 08:00:00,32,11,8,13,416.5,14.1,57.4,41.0,13,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 07:00:00,35,12,9,11,414.3,12.3,54.1,44.5,,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 06:00:00,24,8,6,8,409.0,9.0,48.3,49.3,18,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 05:00:00,42,15,10,15,418.5,9.1,48.4,47.3,20,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 04:00:00,38,13,9,12,419.3,9.9,49.9,46.3,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 03:00:00,53,19,13,19,421.0,10.4,50.7,44.8,20,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 02:00:00,61,24,17,27,425.3,11.5,52.7,43.3,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 01:00:00,93,46,32,48,426.0,12.3,54.2,42.0,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-14 00:00:00,96,48,34,57,433.8,13.5,56.3,40.5,23,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 23:00:00,121,61,44,71,428.0,14.5,58.1,38.5,24,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 22:00:00,159,95,71,122,432.8,15.5,60.0,36.8,26,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 21:00:00,110,55,39,69,428.8,16.7,62.1,35.0,30,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 20:00:00,60,24,17,30,421.0,17.6,63.7,34.0,20,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 19:00:00,39,14,10,14,423.3,18.4,65.0,32.8,15,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 18:00:00,31,11,7,11,424.4,19.2,66.5,30.2,6,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 17:00:00,26,9,6,9,423.5,19.4,66.9,29.3,6,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 16:00:00,24,8,6,10,423.8,19.5,67.1,27.8,6,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 15:00:00,31,11,8,11,424.5,19.5,67.0,27.3,9,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 14:00:00,30,10,7,16,424.3,19.9,67.8,26.8,12,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 13:00:00,40,14,10,17,425.5,20.0,68.1,29.8,14,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 12:00:00,26,9,6,12,427.0,20.6,69.2,28.0,17,,
Asia/Ulaanbaatar UTC+08:00,2020-05-13 11:00:00,50,17,12,26,434.7,22.0,71.7,26.7,23,,
