Serial Number,Share Code,Coordinate
HMA6KRK,UZQFW5CB,"47.924417, 106.865684"
KT4KJ47,JTLZWH22,"47.915527, 106.893736"
LUAKYUG,ohqkca6s,47.912120 106.953814
HGSSMAW,KWERJIGK,"47.953734, 106.943219"
Y7KL6KJ,HRQC3O7R,"47.925953, 106.987388"
MUPH4JJ,NPA2CWXI,"47.939127, 106.931421"
TTVPJAP,MMWHNGTO,"47.933672, 106.935634"
MHPP97G,JS8UKHJW,"47.922891, 106.939619"
TMSSCRY,V1S7R1RN,"47.935863, 107.006293"
TVUM769,H2AX8TL5,"47.942936, 106.919059"
PCMSTGG,MW23BRK8,"47.968355, 106.929907"
RR9M4V9,UQLKYCCK,"47.929507, 106.913833"
7zxpmnr6,7ZXPMNR6,"47.914649, 106.917010"
KW6XH4J,HNID5CJR,"47.937128, 106.793034"
CUVCV9Y,J7QLMB81,"47.922826, 106.794645"
GCWJPX9,S12EUAFI,"47.932849, 106.817432"
CVWU6VT,23CJKMNQ,"47.953246, 106.826962"
SMCAMHK,RMB4MYXC,"47.957138, 106.836971"
SLSVLW4,4C6ANHS3,"47.915199, 106.846345"
GJCXCYS,GZPEDT2I,"47.857916, 106.770765"
WHSSK9M,ZWC4TUVC,"47.866314, 106.803913"
JAHP4HS,N74E5WAD,"47.885564, 106.911610"
PTM4JAM,XBE4FHLQ,"47.936933, 106.905946"
